type;debut;fin;n_mots;texte
hors_livre;3976.96;4632.42;1244;عشرة تقديل وحبه يوزك يبسق وقرطي مركزة وحوضة في عشر السنوات واتمص
lecture;4632.42;4641.00;17;والنصر والفتح والصورة كريعون إيه دا جاء نصر الله والفتح دا وضعبوك
hors_livre;4641.00;4642.12;1;�ووورا
somali;4642.12;4648.50;5;would you mode you know
hors_livre;4649.96;4651.56;3;ورس مك'dع عمرull
hors_livre;4654.24;4656.28;3;مغنق أوها رس
somali;4656.28;4656.48;1;detection
hors_livre;4656.76;4665.36;9;أو هو اوشيني لقد ل거و او فرجدوو수가 هلumb اوخ
hors_livre;4669.58;4691.98;45;فاصد الى حمداة ربي ورسلك إلهي دائم عمري سياتاً شوغاً ورمادي لغبر
lecture;4691.98;4697.92;7;فقين. كل سورة المحمد خلافاترا. سورة الحديدنا
hors_livre;4697.92;4698.94;1;خلافاترا.
hors_livre;4728.94;4736.42;13;و يتومبي نقن حديد يمجال بلا يحشر يسورة المتحينة و شن يتومبي
lecture;4736.42;4742.20;8;سورة المنافقون يسورة وجمعة يسورة الضلاغية التحريم يسورة
hors_livre;4742.20;4816.04;155;نصر اما إذا جاء نصر الله و شن فلباتك كا سلي انت
lecture;4816.04;4818.74;6;تستفره تبيرك صلى الله عليه وسلم
