type;debut;fin;n_mots;texte
lecture;2423.52;2427.10;7;مدنيه وما أريد بيوحله لباتك يديه وفي
hors_livre;2427.10;2436.20;19;ممزيره وحسر ونزور كايلة قباسه وده شيه مركوه صلاة انت معرفة ده
lecture;2436.20;2442.78;18;صما يكون بعد ذلك بصير بحديث رسول الله صلى الله عليه وسلم
hors_livre;2442.78;2449.72;15;لقرآن كده بدين. حديثك رسول كلا من أقل وبلد. اسنة. يو بنى
lecture;2449.72;2453.88;9;يعرف من الحديث حديثك وكبنجرتوه. مثلما عرفو من القرآن.
hors_livre;2454.00;2485.96;62;مع الروحة معرفة لكل الليلة ودي أصلا إيثان. ناسخني منصوخني وكبائي منيو.
lecture;2485.96;2489.24;9;امي ليس من العلم كله علم هو وجب على
hors_livre;2489.24;2498.68;24;العلمه علم طول المركة ليس كوى ادروه العلم اللي وجبها هي بداية
lecture;2498.68;2533.62;73;وعلم متعلمين يكافة المسلمين متره من علم ناسخ القرآن ومسخة قرآن كناسخ
hors_livre;2533.62;2555.44;42;انك صاعدين محاوات الكوان المدارك انتان معرفة وياشه يوانطا علمنا بيوانضالي ويو
lecture;2555.44;2557.42;6;امر لم يوجب الله عزا وعلا
hors_livre;2557.42;2588.38;71;وحن لهي كوواتبن سعن دا كيو وواتبن او يضع فرما اما يسوء
hors_livre;2592.54;2593.52;1;ونقلأ
lecture;2593.52;2607.36;30;بمصور البقداني كتبك اسمحة وصيد من كسوية الناصخ والمنصخ أنا أحمد واسحق
hors_livre;2607.36;2613.62;11;أنك أنا نقرن سحيحة كسحيحة أيك ضعيف كحديث كأنك لسوعة هين
lecture;2613.62;2616.32;6;وانها سخة والمنسخة من المقرام القرآن
hors_livre;2616.32;2623.60;14;كدين ووحى انتظر طوات ريقوني لكن يناسخ يمنسخ بي لن يناسخ يمنسخ
lecture;2623.60;2665.50;93;يوصنني حادية لم يكن علم الروحة علم لو ما ترنا يا روحة
hors_livre;2665.50;2672.76;13;يتاقي. تعرف النصق. حاجة دو مير مدخلها. أي مكان انتنا آيات كبرا
lecture;2672.76;2689.98;35;ناسق من سوق. ان أركينا. نصقها دا منحوية. نصق المنقل العرينينا. محا
hors_livre;2690.16;2705.30;28;واشي وماذا يحدث؟ لا ترسلوا لسوريا وحده اللقضة وحده نصخة الشمس الدلة
hors_livre;2708.25;2709.10;2;نصخة الشمس
lecture;2709.10;2711.74;6;الدلة إذا زالته وحلت ما كان
hors_livre;2712.27;2745.98;72;مرحبا انت ما شيك سار سأيها الكيسي هل كهاركا ايضا عد عد
lecture;2745.98;2755.90;22;لسها ري ماشي بو المقنية وتاسي نسخي من القرآن كي تاسم معنى
hors_livre;2755.90;2763.70;17;لجنة قليقون أموت وحكلة والنة قليقية لو وهل كي أي وحكة جهر
lecture;2763.70;2766.62;6;الخرية من الحصر والنحر إلى أخرى
hors_livre;2766.62;2804.50;77;خرية دوى جادورو يوكل مالاكي أمشن يدكوش التعداد تسارت ميرك لجيسو تاسو
lecture;2804.50;2809.02;8;وفي الاستراحة رفر الحكم الشرقية بخضاب متراخ عنه
hors_livre;2809.02;2822.84;22;وحكم شرق يومركيه رتلي النشاء اللي لسارا لكوري ياله. محانا تساري النشاء.
lecture;2823.30;2826.50;9;ومعنى رفل الثلاث يحكم على وطن لولا هو لبقية
hors_livre;2826.50;2880.44;99;صالحة. ومعنى يمشة يريق يحكم كي يتريب للسوري نيا يو. حدا ومحمن
somali;2880.44;2881.72;3;The General Assembly
hors_livre;2881.72;2964.16;173;كان لدينا فرها ونعود حكم شرق يوم موسمين فهم نحن فرقنا نحوكم
hors_livre;2994.16;2994.46;1;ويخطل
lecture;2994.46;2999.54;10;شيء نادي القيود فينا حقوقة النصة ترتفع وهذا الحالة اما
hors_livre;2999.54;3023.64;52;التقيب بين نقن تخصيص بين نقن حكم بسبوية بساء البرا لسرية بين
hors_livre;3054.48;3076.64;34;منصوخين. وإذ كهرة لرؤية من يوم. مركزا مرشحة. أرنك لأن يكون الناس
hors_livre;3107.50;3165.58;123;وعلى المركز العري. إلا أخفنا بنانا دي صمكو على النسخة لم أعرن
lecture;3165.58;3190.08;56;جزء قرى امرها القراني ما لو عقريه اقول ان دي لنا نسخه
hors_livre;3190.93;3236.94;80;مركز رقراني ما لسودة شيه والطبم ادي المياره الوقت يهرضاع شوهله هو
lecture;3236.94;3265.48;49;والمركة تاسك لفيد وعل النصخة حقم كنا والنسخ يجمع أهان وارقاني ونلا
hors_livre;3295.48;3307.16;24;ايه القرآنين معنها كبتني لكن نفسي يدي بالنسخة لما اقرأ يو ساتم
lecture;3307.16;3311.76;9;اهيه الشيخ وشيخة تو يده زنية فرجموه مع البطة
hors_livre;3311.76;3368.66;101;نكالة من الله والله عزوز محاكم عمر من الخضابية ويمنك عبيه ويمنو
lecture;3368.66;3385.52;35;الله تعالى آيات عن أرك الدونة. وهذا القسم كان سدحات. وكا حكم
hors_livre;3385.52;3413.56;51;عيادة تبقى بلنقراءة كوراية مركزة أركضانا وليبا ويكياران كارتاية لكن منصوخ يتللية
lecture;3413.56;3426.52;21;وهو الذي وضعت فيه الكتب المألّفة كتبت النصية وهادشة نوعية وهادشة نوع
hors_livre;3426.52;3434.96;14;تطبّل لنا التمدار كتب جار اخاصي علي وقبل ان ما تقنى مدبعتها
lecture;3435.78;3444.92;22;ولكن قال بعض ان فيه لك مربى كحال ليه راضي كتعدي كحد
hors_livre;3444.92;3528.58;163;خلاصا وعي كذبتها وحينا وصوان أيات بدلنا المصوخة يقوي روى مصوخ كنتت
lecture;3528.58;3533.84;9;اعتبر التخصيص النصخ. آيات قرآن باترسة. وآيات بي استثناء
hors_livre;3533.84;3582.68;93;وكبد دي مين سوار شعر ويستبع الغاون. إلا الذين تاصر كالآيات كا
somali;3582.68;3585.60;13;you know a lot about bloodshed you have better know where you're
hors_livre;3585.60;3586.16;2;اتمنى و
somali;3586.16;3588.40;7;not to know a lot about bloodshed
hors_livre;3589.50;3592.18;4;انتم تفعيل شخص امامهم
hors_livre;3596.72;3606.84;24;اعتبروا ما شرع للصبار اتمنى الثلاثة بل و عن المنصور اتمنى ايضا
hors_livre;3636.84;3682.68;91;ويأتي السر بلا ويكون يجلون بلا لسام فوى البرية دوما كا أما
lecture;3682.68;3689.14;10;منصور. أياته القرآن ككاملة أبا وحبس قربيه في السنةين وعشرين
hors_livre;3689.14;3695.80;13;عاية. لبيل عطن عايده وليب اللبكة ملاوح الوامح كامتا سار راجحة طبعا
lecture;3695.80;3700.06;8;ونظمها في ابيات اندكرة في كتابي الشيخ ابيات
hors_livre;3700.06;3715.10;27;تبني عنا وكون نظمية وهي بعنا ابيات وطن نوصة سعوة دي مشفوعة
hors_livre;3805.10;3833.68;55;وحبوية بركونا حكمة دودي يبلوحكوا صبونا وانشي عاركي دونا اشعالها تبيري شرفيسة
