type;debut;fin;n_mots;texte
hors_livre;1740.70;1763.36;48;ان الارتشين انه حن يمكن كبكسدو امدى ودعوه نقضيه او ادبوه اوضه
lecture;1763.36;1768.14;8;وقيلة محكمة ولا مقدرة تنق ومحكمة ايدي لكن
hors_livre;1768.14;1769.20;3;لا بل قدرة
lecture;1769.20;1772.22;6;ايه ايه وعلى الذين لا يدقون
hors_livre;1772.22;1774.00;5;وانأعرنك عن صار شرح نوى
lecture;1775.14;1780.66;10;وحب التقواه فيما صح من أثر وفي الحرام القتال اللي
hors_livre;1780.66;1795.82;29;إلا كفروا أيات كباية مو سعونا بحلو حب التقواه وحيالي كريم صقاوح
lecture;1795.82;1801.36;9;إتقلها حق تقاته ده ده الهيك اعصى ده. تقوديسه
hors_livre;1801.36;1843.78;82;حق ده يصكام الكيلاده هاي وقاه ان يضع فلا يُصى وان يشكرا
lecture;1843.78;1847.78;6;تقابن فاتقوا الله ما استدعتهم. إلهي
hors_livre;1847.78;1872.26;54;كعب صدقين فكرامكين. وانا كارسوك يلاهي له وإذا عمرتك بأمر الفأك منهم
hors_livre;1902.26;1919.76;32;اي راتح ييرانو مهه ايضا ربضا ايضا دسمانا صخيان ويس فصيريان ويس
somali;1919.76;1919.98;2;It is.
hors_livre;1920.00;1952.42;63;إلهي قول كيسان وريفة تقول الله مستدعت مو. باب نصلمها. واب باب
lecture;1952.42;1955.22;8;تا وما جعل عليكم في دين نحرش أمرى
hors_livre;1955.22;2019.62;121;مركض تا نتانجرا آيات كنبارك نصق ويكبحية صورة العمرى نامنا آيات كريال
lecture;2019.62;2026.96;18;الله يكلف الله نفساً يلاوسعها. سجاولي وما تعال عليكم في الدين من
hors_livre;2026.96;2055.54;56;عليه وعليه قرآن كأوك سودتي يأي. أقول وانزلنا إليك ذكرة ليتبينها للناس
somali;2055.54;2056.12;4;you can carry on
hors_livre;2056.12;2075.92;40;وحن ننكره لين مفرين لين يجمك اللي فيه واني نجد عايا وحن
lecture;2075.92;2077.74;6;لان قوله تعالى ايها الذين هم
hors_livre;2077.74;2096.74;34;نتقل حبة قاته منصوخة بقول فتقلها ما صدعته ما شهري وغيلة محكمة
lecture;2096.74;2101.40;10;في شهر الحرام بلهم حرمض عليه وانتظروا بشهراتهم. يبشا هادل
hors_livre;2101.40;2143.44;83;قعدا يدو الحتة. مدو القعدا يدو الحتة يمحرم صدحة بلو ديس. ها
lecture;2143.44;2147.92;10;لأن قوره تعالى يسألونك عن شهر الحرامي قتالهم فيه إلهبأي
hors_livre;2147.92;2160.88;24;لوحك ويدينة النب محمد وبشا حرمضة لبل إلا التغالمه يقولك إلهي ولشهر
lecture;2160.88;2166.68;12;سوخان بقول تعالى وقاتل المشركين كافا قال لدي سجود أولى التغالمه قال
hors_livre;2166.68;2175.40;14;لدي هلك كي شاهب أولى التغالمه تاسبان الصخضي تاسبوي بني مكان فانا
lecture;2175.40;2178.74;8;لا تحل شعائر الله ولا شهر الحرام ايه
hors_livre;2178.74;2197.14;37;ايضا كليا قتال فيه قلت قتال فيه كبير ايكو بصبان تاي وحي
lecture;2197.14;2201.98;9;العموم في الأشخاص يسلط من العمومة في الأزمة وي.
hors_livre;2202.38;2223.22;41;كل هذه المشركين تستقودوا لدى للمة. تكي مشرقها. هدو بلي حرمة ده
hors_livre;2253.94;2256.96;6;وعمرك يواجه ميش يترى فالعيات داسا
lecture;2256.96;2314.80;118;نصخ ديبو يو وحين شمور العلمها قبا أفرت مدهبو نقول كودو يو
hors_livre;2314.80;2332.24;32;حكم كاسا أنساله بالرقما هويان اللهم عين وحويان تابويان اركها خلافرتك متربعين
lecture;2332.24;2349.20;35;بعيان منسوخة كباريقان وانترى بعض العلم علي منهل إلا ريو كل هدان
lecture;2351.20;2353.16;4;صعب مين جالنا ارته?
lecture;2355.44;2355.66;1;ايا.
lecture;2357.92;2379.38;41;وقال يعني صعب بيت كدما وضع. والاعتداد بحول النعوصيات يا واي دان
hors_livre;2379.38;2388.48;16;جناتور لها بصار يدي ويشرته برتى سما صوخي بيك وامتها نوع حصورة
lecture;2388.48;2394.80;10;أن يليه والذين يتوفون منكم ويدرون أزواجه مصيتة في أزواجه
hors_livre;2394.80;2418.20;40;متعن للحول كوى يوجد لما نية إيه دمر كبادتي قاية أحوية وحاية
lecture;2418.20;2422.48;6;بسوان والذين يتوفون منكم ويدرونها الزواجين
hors_livre;2422.48;2564.00;296;يتربصنا بأفصينا 24 معشرة كوالي منية دمر أي قبين كبتة ليا او
hors_livre;2594.00;2620.22;49;وعيد الله أبقى لياء فرطنا لأسرط البقرة أعيد أفر بروديو ثبونك يبسويننا
hors_livre;2710.22;2735.58;55;ايه بالمركة ويكون ولي اعتداده اذا ترسي بحول ان سندل ويبعد ارسده
lecture;2735.58;2740.02;10;ان يداني حديث النفسي والفكره اشرق كلائه رأي اديو نا
hors_livre;2740.02;2750.20;28;انت ادعو له لا سبحانه وتعاله علىه علىه سبحانك الله مبحمدك اشدو
lecture;2750.20;2751.72;6;وسه فيه صلى الله عليه وسلم
